Time ,Open,High,Low,Close,Volume 
2021.03.23 01:00:00,1.19336,1.19373,1.19266,1.19297,4450.47
2021.03.23 02:00:00,1.19299,1.19333,1.19232,1.19258,3691
2021.03.23 03:00:00,1.19259,1.19323,1.19244,1.19319,2196.79
2021.03.23 04:00:00,1.19318,1.19336,1.19232,1.19234,2302.61
2021.03.23 05:00:00,1.19232,1.1926,1.19196,1.19249,3039.31
2021.03.23 06:00:00,1.1925,1.19291,1.19217,1.19277,3357.39
2021.03.23 07:00:00,1.19279,1.19321,1.1903,1.19054,6593.01
2021.03.23 08:00:00,1.19054,1.1908,1.18861,1.18989,9672.6
2021.03.23 09:00:00,1.18988,1.19003,1.18912,1.18914,6759.55
2021.03.23 10:00:00,1.18914,1.19001,1.18827,1.18846,7588.64
2021.03.23 11:00:00,1.18847,1.18858,1.18773,1.18809,6421.16
2021.03.23 12:00:00,1.18808,1.1895,1.18789,1.18893,7305.95
2021.03.23 13:00:00,1.18893,1.18916,1.18708,1.18729,7165.42
2021.03.23 14:00:00,1.18728,1.1876,1.18617,1.18739,9273.75
2021.03.23 15:00:00,1.18737,1.18767,1.18637,1.18725,7162.07
2021.03.23 16:00:00,1.18724,1.18727,1.18584,1.18636,6756.12
2021.03.23 17:00:00,1.18637,1.18664,1.18559,1.18572,5253.91
2021.03.23 18:00:00,1.18571,1.18578,1.18488,1.18518,4921.86
2021.03.23 19:00:00,1.1852,1.18562,1.18479,1.1848,3931.57
2021.03.23 20:00:00,1.18478,1.18512,1.18423,1.18506,3139.41
2021.03.23 21:00:00,1.18508,1.1854,1.18476,1.18508,1486.71
2021.03.23 22:00:00,1.18506,1.1852,1.18474,1.18475,966.755
2021.03.23 23:00:00,1.18476,1.18481,1.18363,1.184,2114.74
2021.03.24 00:00:00,1.184,1.18483,1.18399,1.1843,3570.43
2021.03.24 01:00:00,1.18431,1.18512,1.18401,1.18485,4814.22
2021.03.24 02:00:00,1.18485,1.18496,1.18424,1.18454,3545.18
2021.03.24 03:00:00,1.18455,1.185,1.18442,1.18492,2678.19
2021.03.24 04:00:00,1.18489,1.18493,1.18428,1.18467,2240.42
2021.03.24 05:00:00,1.18466,1.18466,1.1839,1.18406,2498.28
2021.03.24 06:00:00,1.18407,1.18475,1.18339,1.18471,4829.1
2021.03.24 07:00:00,1.18472,1.18474,1.18177,1.18209,8068.61
2021.03.24 08:00:00,1.18208,1.18328,1.18125,1.18268,10970.06
2021.03.24 09:00:00,1.1827,1.18448,1.18227,1.18351,7754.54
2021.03.24 10:00:00,1.1835,1.18353,1.1819,1.18229,7522.76
2021.03.24 11:00:00,1.18227,1.1836,1.18223,1.18338,5575.41
2021.03.24 12:00:00,1.18336,1.18367,1.1824,1.18338,6703.25
2021.03.24 13:00:00,1.18338,1.18339,1.18147,1.1823,10185.56
2021.03.24 14:00:00,1.18231,1.18304,1.18173,1.18287,8791.06
2021.03.24 15:00:00,1.18288,1.18392,1.18242,1.18307,7286.31
2021.03.24 16:00:00,1.18307,1.1837,1.18231,1.18237,6344.22
2021.03.24 17:00:00,1.18236,1.18291,1.18199,1.18274,4671.69
2021.03.24 18:00:00,1.18275,1.18308,1.18212,1.18213,4254.02
2021.03.24 19:00:00,1.18212,1.18234,1.18125,1.18125,4061.2
2021.03.24 20:00:00,1.18125,1.18165,1.18098,1.18139,2085.85
2021.03.24 21:00:00,1.18139,1.18153,1.18117,1.18135,443.7
2021.03.24 22:00:00,1.18135,1.18155,1.18092,1.1812,1061.545
2021.03.24 23:00:00,1.18121,1.18148,1.18109,1.18131,914.89
2021.03.25 00:00:00,1.18133,1.1818,1.18115,1.1818,2365.74
2021.03.25 01:00:00,1.18178,1.18178,1.18044,1.18122,4403.38
2021.03.25 02:00:00,1.18123,1.18254,1.18121,1.18243,4624.11
2021.03.25 03:00:00,1.18241,1.18279,1.18223,1.18232,2856.49
2021.03.25 04:00:00,1.18232,1.18242,1.18188,1.18208,3498.7
2021.03.25 05:00:00,1.18208,1.18264,1.18199,1.18204,3088
2021.03.25 06:00:00,1.18203,1.18216,1.18142,1.18164,4452.7
2021.03.25 07:00:00,1.18162,1.18184,1.18049,1.18063,5613.86
2021.03.25 08:00:00,1.1806,1.18166,1.18015,1.18054,7328.96
2021.03.25 09:00:00,1.18054,1.18138,1.18038,1.18107,4247.33
2021.03.25 10:00:00,1.18106,1.18182,1.18084,1.18143,5947.13
2021.03.25 11:00:00,1.1814,1.1818,1.18038,1.1805,6751.72
2021.03.25 12:00:00,1.18051,1.18099,1.17913,1.17974,8770.49
2021.03.25 13:00:00,1.17974,1.18156,1.17966,1.1808,10794.07
2021.03.25 14:00:00,1.1808,1.18127,1.17922,1.17997,11596.03
2021.03.25 15:00:00,1.17998,1.17999,1.17735,1.17762,9880.43
2021.03.25 16:00:00,1.17761,1.1781,1.17627,1.17629,8064.54
2021.03.25 17:00:00,1.1763,1.17764,1.17619,1.17748,8350.37
2021.03.25 18:00:00,1.17746,1.17819,1.17699,1.17769,5072.56
2021.03.25 19:00:00,1.17773,1.17792,1.17651,1.17675,6049.09
2021.03.25 20:00:00,1.17676,1.17696,1.17623,1.17647,2666.69
2021.03.25 21:00:00,1.17644,1.17758,1.17644,1.17698,1311.3273
2021.03.25 22:00:00,1.17698,1.17742,1.17684,1.1774,1147.236
2021.03.25 23:00:00,1.17739,1.17774,1.17715,1.17758,1423.32
2021.03.26 00:00:00,1.17759,1.1784,1.17719,1.17822,4178.62
2021.03.26 01:00:00,1.17822,1.17848,1.17797,1.17837,2402.06
2021.03.26 02:00:00,1.17837,1.17847,1.17765,1.17799,1957.76
2021.03.26 03:00:00,1.17801,1.17821,1.17794,1.17813,1086.41
2021.03.26 04:00:00,1.1781,1.1781,1.17749,1.17767,1296.68
2021.03.26 05:00:00,1.17767,1.17845,1.17767,1.17837,1593.73
2021.03.26 06:00:00,1.17836,1.17871,1.17808,1.17835,2672.57
2021.03.26 07:00:00,1.17834,1.17892,1.17762,1.1787,4628.75
2021.03.26 08:00:00,1.17866,1.17886,1.17754,1.17876,5815.51
2021.03.26 09:00:00,1.17875,1.17975,1.17833,1.17926,5722.89
2021.03.26 10:00:00,1.17925,1.17938,1.17776,1.17822,4363.29
2021.03.26 11:00:00,1.17822,1.17829,1.1772,1.17741,5230.26
