Time (EET),Open,High,Low,Close,Volume 
2010.07.16 14:15:00,1.29794,1.29879,1.2972,1.29865,862.4
2010.07.16 14:30:00,1.29861,1.2995,1.29753,1.29903,845
2010.07.16 14:45:00,1.29909,1.3,1.29843,1.29945,768.6
2010.07.16 15:00:00,1.29944,1.30062,1.298,1.29931,835.1
2010.07.16 15:15:00,1.29928,1.30064,1.29909,1.29986,927.4
2010.07.16 15:30:00,1.29982,1.30012,1.29839,1.2994,766.3
2010.07.16 15:45:00,1.29948,1.29953,1.29749,1.29766,1144.8
2010.07.16 16:00:00,1.29784,1.29839,1.29563,1.29612,1129.5
2010.07.16 16:15:00,1.29602,1.29802,1.29589,1.29699,984.5
2010.07.16 16:30:00,1.29683,1.29839,1.29618,1.29707,1795
2010.07.16 16:45:00,1.29712,1.2974,1.29533,1.29605,1265.5
2010.07.16 17:00:00,1.29604,1.29627,1.29225,1.29416,1512.3
2010.07.16 17:15:00,1.29406,1.29592,1.29333,1.29514,1146.7
2010.07.16 17:30:00,1.29497,1.29516,1.29272,1.29363,1459.5
2010.07.16 17:45:00,1.29387,1.2953,1.29351,1.29517,1062.4
2010.07.16 18:00:00,1.29515,1.29564,1.29282,1.29321,1207.2
2010.07.16 18:15:00,1.29326,1.29395,1.29231,1.29334,1090.1
2010.07.16 18:30:00,1.29328,1.29338,1.29201,1.29251,1110.1
2010.07.16 18:45:00,1.29242,1.29275,1.2913,1.29177,1361.6
2010.07.16 19:00:00,1.29164,1.2931,1.29142,1.29291,1050.6
2010.07.16 19:15:00,1.29287,1.2932,1.29205,1.29281,1006.8
2010.07.16 19:30:00,1.29284,1.29353,1.29205,1.29278,1023.2
2010.07.16 19:45:00,1.29275,1.29286,1.29142,1.29161,951.8
2010.07.16 20:00:00,1.29164,1.29233,1.29132,1.29176,729.6
2010.07.16 20:15:00,1.29198,1.29293,1.29156,1.29203,997.6
2010.07.16 20:30:00,1.29197,1.29296,1.29174,1.29203,761.3
2010.07.16 20:45:00,1.29189,1.29375,1.29187,1.29351,783.7
2010.07.16 21:00:00,1.29346,1.29477,1.29322,1.29461,653
2010.07.16 21:15:00,1.29434,1.29467,1.29365,1.29417,610.8
2010.07.16 21:30:00,1.29436,1.29476,1.29372,1.29466,618.3
2010.07.16 21:45:00,1.2946,1.29549,1.29423,1.29449,530
2010.07.16 22:00:00,1.29445,1.29478,1.29371,1.29385,603.6
